!!SBtab DocumentName=' TableType='Compound' TableName=' Document=' Unit=' SBtabVersion='1.0' Date='2018-10-17'
!Identifiers:kegg.compound	!Name	!dG0 (kJ/mol)	!nH	!charge	!nMg	!Note
C00127	C_glutathione_disulfide	0.0	30	-2	0	
C00130	C_imp	-1255.4	11	-2	0	
C00130	C_imp	-1293.8	12	-1	0	
C00132	C_methanol	-175.3	4	0	0	
C00138	C_reduced_ferredoxin	38.1	0	0	0	
C00139	C_oxidized_ferredoxin	0.0	0	1	0	
C00147	C_adenine	310.7	5	0	0	
C00147	C_adenine	286.7	6	1	0	
C00149	C_s_malate	-842.7	4	-2	0	
C00149	C_s_malate	-872.7	5	-1	0	
C00152	C_l_asparagine	-525.9	8	0	0	
C00158	C_citrate	-1162.7	5	-3	0	
C00158	C_citrate	-1199.2	6	-2	0	
C00158	C_citrate	-1226.3	7	-1	0	
C00159	C_d_mannose	-910.0	12	0	0	
C00160	C_glycolate	-531.0	3	-1	0	
C00164	C_acetoacetate	-482.5	5	-1	0	
C00168	C_hydroxypyruvate	-608.5	3	-1	0	
C00169	C_carbamoyl_phosphate	-1232.0	2	-2	0	
C00169	C_carbamoyl_phosphate	-1281.5	3	-1	0	
C00169	C_carbamoyl_phosphate	-1310.7	4	0	0	
C00181	C_d_xylose	-750.5	10	0	0	
C00183	C_l_valine	-358.6	11	0	0	
C00184	C_glycerone	-451.0	6	0	0	
C00185	C_cellobiose	-1585.9	22	0	0	
C00186	C_s_lactate	-516.7	5	-1	0	
C00186	C_s_lactate	-979.8	5	1	1	
C00188	C_l_threonine	-528.9	9	0	0	
C00197	C_3_phospho_d_glycerate	-1502.5	4	-3	0	
C00197	C_3_phospho_d_glycerate	-1974.0	4	-1	1	
C00197	C_3_phospho_d_glycerate	-1545.5	5	-2	0	
C00198	C_d_glucono_15_lactone	-903.5	10	0	0	
C00199	C_d_ribulose_5_phosphate	-1595.3	9	-2	0	
C00199	C_d_ribulose_5_phosphate	-1633.5	10	-1	0	
C00207	C_acetone	-159.7	6	0	0	
C00208	C_maltose	-1574.7	22	0	0	
C00209	C_oxalate	-673.9	0	-2	0	
C00209	C_oxalate	-698.3	1	-1	0	
C00212	C_adenosine	-194.5	13	0	0	
C00212	C_adenosine	-214.3	14	1	0	
C00214	C_thymidine	-157.6	13	-1	0	
C00214	C_thymidine	-214.7	14	0	0	
C00216	C_d_arabinose	-742.2	10	0	0	
C00218	C_methylamine	-39.9	6	1	0	
C00224	C_adenylyl_sulfate	-1542.0	12	-2	0	
C00227	C_acetyl_phosphate	-1219.4	3	-2	0	
C00227	C_acetyl_phosphate	-1268.1	4	-1	0	
C00227	C_acetyl_phosphate	-1298.3	5	0	0	
C00233	C_4_methyl_2_oxopentanoate	-445.1	9	-1	0	
C00236	C_3_phospho_d_glyceroyl_phosphate	-2356.1	4	-4	0	
C00236	C_3_phospho_d_glyceroyl_phosphate	-2832.8	4	-2	1	
C00236	C_3_phospho_d_glyceroyl_phosphate	-2401.6	5	-3	0	
C00236	C_3_phospho_d_glyceroyl_phosphate	-2440.2	6	-2	0	
C00237	C_co	-119.9	0	0	0	
C00243	C_lactose	-1567.3	22	0	0	
C00244	C_nitrate	-108.7	0	-1	0	
C00244	C_nitrate	-111.2	1	0	0	
C00245	C_taurine	-509.4	6	-1	0	
C00246	C_butanoic_acid	-352.6	7	-1	0	
C00247	C_l_sorbose	-912.0	12	0	0	
C00249	C_hexadecanoic_acid	-259.4	31	-1	0	
C00252	C_isomaltose	-1587.7	22	0	0	
C00257	C_d_gluconic_acid	-1128.3	11	-1	0	
C00258	C_d_glycerate	-661.0	5	-1	0	
C00262	C_hypoxanthine	89.5	4	0	0	
C00275	C_d_mannose_6_phosphate	-1759.9	11	-2	0	
C00275	C_d_mannose_6_phosphate	-1796.6	12	-1	0	
C00282	C_hydrogen	17.6	2	0	0	
C00283	C_hydrogen_sulfide	85.8	0	-2	0	
C00283	C_hydrogen_sulfide	12.1	1	-1	0	
C00283	C_hydrogen_sulfide	-27.8	2	0	0	
C00288	C_co2total	-527.8	0	-2	0	
C00288	C_co2total	-586.8	1	-1	0	
C00288	C_co2total	-623.1	2	0	0	
C00294	C_inosine	-409.1	12	0	0	
C00300	C_creatine	-259.2	9	0	0	
C00305	C_magnesium_cation	-455.3	0	2	1	
C00309	C_d_ribulose	-735.9	10	0	0	
C00310	C_d_xylulose	-746.1	10	0	0	
C00311	C_isocitrate	-1156.0	5	-3	0	
C00311	C_isocitrate	-1192.6	6	-2	0	
C00311	C_isocitrate	-1219.5	7	-1	0	
C00313	C_oxalyl_coa	-510.0	31	-5	0	
C00332	C_acetoacetyl_coa	-285.3	36	-4	0	
C00342	C_thioredoxin	69.9	0	-2	0	
C00342	C_thioredoxin	20.6	1	-1	0	
C00342	C_thioredoxin	-25.4	2	0	0	
C00343	C_thioredoxin_disulfide	0.0	0	0	0	
C00354	C_d_fructose_16_bisphosphate	-2601.4	10	-4	0	
C00354	C_d_fructose_16_bisphosphate	-3078.1	10	-2	1	
C00354	C_d_fructose_16_bisphosphate	-2639.4	11	-3	0	
C00354	C_d_fructose_16_bisphosphate	-2673.9	12	-2	0	
C00366	C_urate	-325.9	3	-1	0	
C00366	C_urate	-356.9	4	0	0	
C00376	C_retinal	0.0	28	0	0	
C00379	C_xylitol	-784.1	12	0	0	
C00387	C_guanosine	0.0	13	0	0	
C00390	C_ubiquinol	-89.9	92	0	0	
C00392	C_mannitol	-942.6	14	0	0	
C00399	C_ubiquinone	0.0	90	0	0	
C00407	C_l_isoleucine	-343.9	13	0	0	
C00417	C_cis_aconitate	-917.1	3	-3	0	
C00423	C_trans_cinnamate	-128.8	7	-1	0	
C00455	C_nicotinamide_d_ribonucleotide	840.1	14	-2	0	
C00455	C_nicotinamide_d_ribonucleotide	803.3	15	-1	0	
C00463	C_indole	223.8	7	0	0	
C00469	C_ethanol	-181.6	6	0	0	
C00473	C_retinol	-27.9	30	0	0	
C00474	C_ribitol	-774.8	12	0	0	
C00476	C_d_lyxose	-749.1	10	0	0	
C00491	C_l_cystine	-666.5	12	0	0	
C00533	C_nitric_oxide	86.5	0	0	0	
C00543	C_dimethylamine	-3.3	8	1	0	
C00565	C_trimethylamine	37.2	10	1	0	
C00575	C_35_cyclic_amp	-790.9	11	-1	0	
C00577	C_d_glyceraldehyde	-440.0	6	0	0	
C00620	C_d_ribose_1_phosphate	-1587.7	9	-2	0	
C00620	C_d_ribose_1_phosphate	-1625.9	10	-1	0	
C00631	C_2_phospho_d_glycerate	-1496.4	4	-3	0	
C00631	C_2_phospho_d_glycerate	-1970.5	4	-1	1	
C00631	C_2_phospho_d_glycerate	-1540.0	5	-2	0	
C00636	C_d_mannos_1_phosphate	-1754.6	11	-2	0	
